ENSG00000103175.10|WFDC1	ENSG00000103175.10	WFDC1
ENSG00000103316.10|CRYM	ENSG00000103316.10	CRYM
ENSG00000103522.15|IL21R	ENSG00000103522.15	IL21R
ENSG00000103569.9|AQP9	ENSG00000103569.9	AQP9
ENSG00000103742.11|IGDCC4	ENSG00000103742.11	IGDCC4
ENSG00000104059.4|FAM189A1	ENSG00000104059.4	FAM189A1
ENSG00000104332.11|SFRP1	ENSG00000104332.11	SFRP1
ENSG00000104369.4|JPH1	ENSG00000104369.4	JPH1
ENSG00000104371.4|DKK4	ENSG00000104371.4	DKK4
ENSG00000104537.16|ANXA13	ENSG00000104537.16	ANXA13
ENSG00000104899.7|AMH	ENSG00000104899.7	AMH
ENSG00000104938.16|CLEC4M	ENSG00000104938.16	CLEC4M
ENSG00000105048.16|TNNT1	ENSG00000105048.16	TNNT1
ENSG00000105289.14|TJP3	ENSG00000105289.14	TJP3
ENSG00000105369.9|CD79A	ENSG00000105369.9	CD79A
ENSG00000105392.15|CRX	ENSG00000105392.15	CRX
ENSG00000105398.3|SULT2A1	ENSG00000105398.3	SULT2A1
ENSG00000105409.16|ATP1A3	ENSG00000105409.16	ATP1A3
ENSG00000105426.16|PTPRS	ENSG00000105426.16	PTPRS
ENSG00000105492.15|SIGLEC6	ENSG00000105492.15	SIGLEC6
ENSG00000105501.12|SIGLEC5	ENSG00000105501.12	SIGLEC5
ENSG00000105509.10|HAS1	ENSG00000105509.10	HAS1
ENSG00000105523.3|FAM83E	ENSG00000105523.3	FAM83E
ENSG00000105639.18|JAK3	ENSG00000105639.18	JAK3
ENSG00000105664.10|COMP	ENSG00000105664.10	COMP
ENSG00000105697.7|HAMP	ENSG00000105697.7	HAMP
ENSG00000105717.13|PBX4	ENSG00000105717.13	PBX4
ENSG00000105855.9|ITGB8	ENSG00000105855.9	ITGB8
ENSG00000106006.6|HOXA6	ENSG00000106006.6	HOXA6
ENSG00000106018.13|VIPR2	ENSG00000106018.13	VIPR2
ENSG00000106031.7|HOXA13	ENSG00000106031.7	HOXA13
ENSG00000106123.11|EPHB6	ENSG00000106123.11	EPHB6
ENSG00000106128.18|GHRHR	ENSG00000106128.18	GHRHR
ENSG00000106236.3|NPTX2	ENSG00000106236.3	NPTX2
ENSG00000106333.12|PCOLCE	ENSG00000106333.12	PCOLCE
ENSG00000106366.8|SERPINE1	ENSG00000106366.8	SERPINE1
ENSG00000106511.5|MEOX2	ENSG00000106511.5	MEOX2
ENSG00000106536.19|POU6F2	ENSG00000106536.19	POU6F2
ENSG00000106624.10|AEBP1	ENSG00000106624.10	AEBP1
ENSG00000106633.15|GCK	ENSG00000106633.15	GCK
ENSG00000106689.10|LHX2	ENSG00000106689.10	LHX2
ENSG00000107165.12|TYRP1	ENSG00000107165.12	TYRP1
ENSG00000107317.12|PTGDS	ENSG00000107317.12	PTGDS
ENSG00000107485.15|GATA3	ENSG00000107485.15	GATA3
ENSG00000107518.16|ATRNL1	ENSG00000107518.16	ATRNL1
ENSG00000107807.12|TLX1	ENSG00000107807.12	TLX1
ENSG00000107984.9|DKK1	ENSG00000107984.9	DKK1
ENSG00000108187.15|PBLD	ENSG00000108187.15	PBLD
ENSG00000108405.3|P2RX1	ENSG00000108405.3	P2RX1
ENSG00000108602.17|ALDH3A1	ENSG00000108602.17	ALDH3A1
ENSG00000108813.10|DLX4	ENSG00000108813.10	DLX4
ENSG00000108821.13|COL1A1	ENSG00000108821.13	COL1A1
ENSG00000108823.15|SGCA	ENSG00000108823.15	SGCA
ENSG00000108825.17|PTGES3L-AARSD1	ENSG00000108825.17	PTGES3L-AARSD1
ENSG00000108830.9|RND2	ENSG00000108830.9	RND2
ENSG00000109181.11|UGT2B10	ENSG00000109181.11	UGT2B10
ENSG00000109193.10|SULT1E1	ENSG00000109193.10	SULT1E1
ENSG00000109205.16|ODAM	ENSG00000109205.16	ODAM
ENSG00000109265.13|KIAA1211	ENSG00000109265.13	KIAA1211
ENSG00000109511.11|ANXA10	ENSG00000109511.11	ANXA10
ENSG00000109610.5|SOD3	ENSG00000109610.5	SOD3
ENSG00000109625.18|CPZ	ENSG00000109625.18	CPZ
ENSG00000109684.14|CLNK	ENSG00000109684.14	CLNK
ENSG00000109758.8|HGFAC	ENSG00000109758.8	HGFAC
ENSG00000109819.8|PPARGC1A	ENSG00000109819.8	PPARGC1A
ENSG00000109943.8|CRTAM	ENSG00000109943.8	CRTAM
ENSG00000109956.12|B3GAT1	ENSG00000109956.12	B3GAT1
ENSG00000109991.8|P2RX3	ENSG00000109991.8	P2RX3
ENSG00000110169.10|HPX	ENSG00000110169.10	HPX
ENSG00000110243.11|APOA5	ENSG00000110243.11	APOA5
ENSG00000110244.6|APOA4	ENSG00000110244.6	APOA4
ENSG00000110436.11|SLC1A2	ENSG00000110436.11	SLC1A2
ENSG00000110723.11|EXPH5	ENSG00000110723.11	EXPH5
ENSG00000110777.11|POU2AF1	ENSG00000110777.11	POU2AF1
ENSG00000110848.8|CD69	ENSG00000110848.8	CD69
ENSG00000110881.11|ASIC1	ENSG00000110881.11	ASIC1
ENSG00000110887.7|DAO	ENSG00000110887.7	DAO
ENSG00000111249.13|CUX2	ENSG00000111249.13	CUX2
ENSG00000111344.11|RASAL1	ENSG00000111344.11	RASAL1
ENSG00000111404.6|RERGL	ENSG00000111404.6	RERGL
ENSG00000111424.10|VDR	ENSG00000111424.10	VDR
ENSG00000111537.4|IFNG	ENSG00000111537.4	IFNG
ENSG00000111700.12|SLCO1B3	ENSG00000111700.12	SLCO1B3
ENSG00000111713.2|GYS2	ENSG00000111713.2	GYS2
ENSG00000111728.10|ST8SIA1	ENSG00000111728.10	ST8SIA1
ENSG00000111981.4|ULBP1	ENSG00000111981.4	ULBP1
ENSG00000112175.7|BMP5	ENSG00000112175.7	BMP5
ENSG00000112183.14|RBM24	ENSG00000112183.14	RBM24
ENSG00000112214.10|FHL5	ENSG00000112214.10	FHL5
ENSG00000112232.8|KHDRBS2	ENSG00000112232.8	KHDRBS2
ENSG00000112293.14|GPLD1	ENSG00000112293.14	GPLD1
ENSG00000112299.7|VNN1	ENSG00000112299.7	VNN1
ENSG00000112303.13|VNN2	ENSG00000112303.13	VNN2
ENSG00000112379.8|ARFGEF3	ENSG00000112379.8	ARFGEF3
ENSG00000112494.9|UNC93A	ENSG00000112494.9	UNC93A
ENSG00000112530.11|PACRG	ENSG00000112530.11	PACRG
ENSG00000112559.13|MDFI	ENSG00000112559.13	MDFI
ENSG00000112796.9|ENPP5	ENSG00000112796.9	ENPP5
ENSG00000112818.9|MEP1A	ENSG00000112818.9	MEP1A
ENSG00000112852.6|PCDHB2	ENSG00000112852.6	PCDHB2
ENSG00000112936.18|C7	ENSG00000112936.18	C7
ENSG00000113088.5|GZMK	ENSG00000113088.5	GZMK
ENSG00000113249.12|HAVCR1	ENSG00000113249.12	HAVCR1
ENSG00000113262.14|GRM6	ENSG00000113262.14	GRM6
ENSG00000113263.12|ITK	ENSG00000113263.12	ITK
ENSG00000113296.14|THBS4	ENSG00000113296.14	THBS4
ENSG00000113303.11|BTNL8	ENSG00000113303.11	BTNL8
ENSG00000113594.9|LIFR	ENSG00000113594.9	LIFR
ENSG00000113600.10|C9	ENSG00000113600.10	C9
ENSG00000113805.8|CNTN3	ENSG00000113805.8	CNTN3
ENSG00000113905.4|HRG	ENSG00000113905.4	HRG
ENSG00000114200.9|BCHE	ENSG00000114200.9	BCHE
ENSG00000114805.16|PLCH1	ENSG00000114805.16	PLCH1
ENSG00000115009.11|CCL20	ENSG00000115009.11	CCL20
ENSG00000115085.13|ZAP70	ENSG00000115085.13	ZAP70
ENSG00000115163.14|CENPA	ENSG00000115163.14	CENPA
ENSG00000115165.9|CYTIP	ENSG00000115165.9	CYTIP
ENSG00000115194.10|SLC30A3	ENSG00000115194.10	SLC30A3
ENSG00000115255.10|REEP6	ENSG00000115255.10	REEP6
ENSG00000115361.7|ACADL	ENSG00000115361.7	ACADL
ENSG00000115386.5|REG1A	ENSG00000115386.5	REG1A
ENSG00000115457.9|IGFBP2	ENSG00000115457.9	IGFBP2
ENSG00000115602.16|IL1RL1	ENSG00000115602.16	IL1RL1
ENSG00000116147.16|TNR	ENSG00000116147.16	TNR
ENSG00000116260.16|QSOX1	ENSG00000116260.16	QSOX1
ENSG00000116678.19|LEPR	ENSG00000116678.19	LEPR
ENSG00000116690.12|PRG4	ENSG00000116690.12	PRG4
ENSG00000116761.11|CTH	ENSG00000116761.11	CTH
ENSG00000116774.11|OLFML3	ENSG00000116774.11	OLFML3
ENSG00000116785.13|CFHR3	ENSG00000116785.13	CFHR3
ENSG00000116824.4|CD2	ENSG00000116824.4	CD2
ENSG00000116882.14|HAO2	ENSG00000116882.14	HAO2
ENSG00000117069.14|ST6GALNAC5	ENSG00000117069.14	ST6GALNAC5
ENSG00000117090.14|SLAMF1	ENSG00000117090.14	SLAMF1
ENSG00000117091.9|CD48	ENSG00000117091.9	CD48
ENSG00000117122.13|MFAP2	ENSG00000117122.13	MFAP2
ENSG00000117215.14|PLA2G2D	ENSG00000117215.14	PLA2G2D
ENSG00000117322.17|CR2	ENSG00000117322.17	CR2
ENSG00000117594.9|HSD11B1	ENSG00000117594.9	HSD11B1
ENSG00000117600.12|PLPPR4	ENSG00000117600.12	PLPPR4
ENSG00000117650.12|NEK2	ENSG00000117650.12	NEK2
ENSG00000118017.3|A4GNT	ENSG00000118017.3	A4GNT
ENSG00000118137.9|APOA1	ENSG00000118137.9	APOA1
ENSG00000118271.9|TTR	ENSG00000118271.9	TTR
ENSG00000118514.13|ALDH8A1	ENSG00000118514.13	ALDH8A1
ENSG00000118520.14|ARG1	ENSG00000118520.14	ARG1
ENSG00000118777.10|ABCG2	ENSG00000118777.10	ABCG2
ENSG00000118785.13|SPP1	ENSG00000118785.13	SPP1
ENSG00000119888.10|EPCAM	ENSG00000119888.10	EPCAM
ENSG00000119915.4|ELOVL3	ENSG00000119915.4	ELOVL3
ENSG00000120054.11|CPN1	ENSG00000120054.11	CPN1
ENSG00000120251.18|GRIA2	ENSG00000120251.18	GRIA2
ENSG00000120440.13|TTLL2	ENSG00000120440.13	TTLL2
ENSG00000120498.13|TEX11	ENSG00000120498.13	TEX11
ENSG00000120658.13|ENOX1	ENSG00000120658.13	ENOX1
ENSG00000120659.14|TNFSF11	ENSG00000120659.14	TNFSF11
ENSG00000120729.9|MYOT	ENSG00000120729.9	MYOT
ENSG00000120738.7|EGR1	ENSG00000120738.7	EGR1
ENSG00000120875.8|DUSP4	ENSG00000120875.8	DUSP4
ENSG00000120907.17|ADRA1A	ENSG00000120907.17	ADRA1A
ENSG00000121075.9|TBX4	ENSG00000121075.9	TBX4
ENSG00000121410.11|A1BG	ENSG00000121410.11	A1BG
ENSG00000121440.14|PDZRN3	ENSG00000121440.14	PDZRN3
ENSG00000121690.10|DEPDC7	ENSG00000121690.10	DEPDC7
ENSG00000121743.3|GJA3	ENSG00000121743.3	GJA3
ENSG00000121753.12|ADGRB2	ENSG00000121753.12	ADGRB2
ENSG00000121807.5|CCR2	ENSG00000121807.5	CCR2
ENSG00000121895.7|TMEM156	ENSG00000121895.7	TMEM156
ENSG00000121904.17|CSMD2	ENSG00000121904.17	CSMD2
ENSG00000122025.14|FLT3	ENSG00000122025.14	FLT3
ENSG00000122121.10|XPNPEP2	ENSG00000122121.10	XPNPEP2
ENSG00000122176.10|FMOD	ENSG00000122176.10	FMOD
ENSG00000122756.14|CNTFR	ENSG00000122756.14	CNTFR
ENSG00000122778.9|KIAA1549	ENSG00000122778.9	KIAA1549
ENSG00000122787.14|AKR1D1	ENSG00000122787.14	AKR1D1
ENSG00000122824.10|NUDT10	ENSG00000122824.10	NUDT10
ENSG00000123201.14|GUCY1B2	ENSG00000123201.14	GUCY1B2
ENSG00000123485.11|HJURP	ENSG00000123485.11	HJURP
ENSG00000123496.7|IL13RA2	ENSG00000123496.7	IL13RA2
ENSG00000123572.16|NRK	ENSG00000123572.16	NRK
ENSG00000124003.12|MOGAT1	ENSG00000124003.12	MOGAT1
ENSG00000124092.12|CTCFL	ENSG00000124092.12	CTCFL
ENSG00000124107.5|SLPI	ENSG00000124107.5	SLPI
ENSG00000124203.6|ZNF831	ENSG00000124203.6	ZNF831
ENSG00000124212.5|PTGIS	ENSG00000124212.5	PTGIS
ENSG00000124232.10|RBPJL	ENSG00000124232.10	RBPJL
ENSG00000124253.10|PCK1	ENSG00000124253.10	PCK1
ENSG00000124256.14|ZBP1	ENSG00000124256.14	ZBP1
ENSG00000124564.17|SLC17A3	ENSG00000124564.17	SLC17A3
ENSG00000124568.10|SLC17A1	ENSG00000124568.10	SLC17A1
ENSG00000124610.4|HIST1H1A	ENSG00000124610.4	HIST1H1A
ENSG00000124657.1|OR2B6	ENSG00000124657.1	OR2B6
ENSG00000124664.10|SPDEF	ENSG00000124664.10	SPDEF
ENSG00000124713.5|GNMT	ENSG00000124713.5	GNMT
ENSG00000124731.12|TREM1	ENSG00000124731.12	TREM1
ENSG00000124766.6|SOX4	ENSG00000124766.6	SOX4
ENSG00000124875.9|CXCL6	ENSG00000124875.9	CXCL6
ENSG00000125144.13|MT1G	ENSG00000125144.13	MT1G
ENSG00000125148.6|MT2A	ENSG00000125148.6	MT2A
ENSG00000125551.18|PLGLB2	ENSG00000125551.18	PLGLB2
ENSG00000125657.4|TNFSF9	ENSG00000125657.4	TNFSF9
ENSG00000125675.17|GRIA3	ENSG00000125675.17	GRIA3
ENSG00000125740.13|FOSB	ENSG00000125740.13	FOSB
ENSG00000125780.11|TGM3	ENSG00000125780.11	TGM3
ENSG00000125841.12|NRSN2	ENSG00000125841.12	NRSN2
