ENSG00000085552.16|IGSF9	ENSG00000085552.16	IGSF9
ENSG00000085563.14|ABCB1	ENSG00000085563.14	ABCB1
ENSG00000085741.12|WNT11	ENSG00000085741.12	WNT11
ENSG00000085831.15|TTC39A	ENSG00000085831.15	TTC39A
ENSG00000085840.12|ORC1	ENSG00000085840.12	ORC1
ENSG00000085999.11|RAD54L	ENSG00000085999.11	RAD54L
ENSG00000086205.16|FOLH1	ENSG00000086205.16	FOLH1
ENSG00000086548.8|CEACAM6	ENSG00000086548.8	CEACAM6
ENSG00000086696.10|HSD17B2	ENSG00000086696.10	HSD17B2
ENSG00000086717.18|PPEF1	ENSG00000086717.18	PPEF1
ENSG00000087116.14|ADAMTS2	ENSG00000087116.14	ADAMTS2
ENSG00000087237.10|CETP	ENSG00000087237.10	CETP
ENSG00000087258.14|GNAO1	ENSG00000087258.14	GNAO1
ENSG00000087494.15|PTHLH	ENSG00000087494.15	PTHLH
ENSG00000088053.11|GP6	ENSG00000088053.11	GP6
ENSG00000088325.15|TPX2	ENSG00000088325.15	TPX2
ENSG00000088367.21|EPB41L1	ENSG00000088367.21	EPB41L1
ENSG00000088386.16|SLC15A1	ENSG00000088386.16	SLC15A1
ENSG00000088756.12|ARHGAP28	ENSG00000088756.12	ARHGAP28
ENSG00000088827.12|SIGLEC1	ENSG00000088827.12	SIGLEC1
ENSG00000088836.12|SLC4A11	ENSG00000088836.12	SLC4A11
ENSG00000088881.20|EBF4	ENSG00000088881.20	EBF4
ENSG00000088882.7|CPXM1	ENSG00000088882.7	CPXM1
ENSG00000088926.13|F11	ENSG00000088926.13	F11
ENSG00000089012.14|SIRPG	ENSG00000089012.14	SIRPG
ENSG00000089101.17|CFAP61	ENSG00000089101.17	CFAP61
ENSG00000089356.18|FXYD3	ENSG00000089356.18	FXYD3
ENSG00000089685.14|BIRC5	ENSG00000089685.14	BIRC5
ENSG00000089692.8|LAG3	ENSG00000089692.8	LAG3
ENSG00000090006.17|LTBP4	ENSG00000090006.17	LTBP4
ENSG00000090376.10|IRAK3	ENSG00000090376.10	IRAK3
ENSG00000090382.6|LYZ	ENSG00000090382.6	LYZ
ENSG00000090512.11|FETUB	ENSG00000090512.11	FETUB
ENSG00000090889.11|KIF4A	ENSG00000090889.11	KIF4A
ENSG00000091128.12|LAMB4	ENSG00000091128.12	LAMB4
ENSG00000091129.19|NRCAM	ENSG00000091129.19	NRCAM
ENSG00000091136.13|LAMB1	ENSG00000091136.13	LAMB1
ENSG00000091138.12|SLC26A3	ENSG00000091138.12	SLC26A3
ENSG00000091181.19|IL5RA	ENSG00000091181.19	IL5RA
ENSG00000091482.5|SMPX	ENSG00000091482.5	SMPX
ENSG00000091490.10|SEL1L3	ENSG00000091490.10	SEL1L3
ENSG00000091513.14|TF	ENSG00000091513.14	TF
ENSG00000092096.16|SLC22A17	ENSG00000092096.16	SLC22A17
ENSG00000092445.11|TYRO3	ENSG00000092445.11	TYRO3
ENSG00000092607.13|TBX15	ENSG00000092607.13	TBX15
ENSG00000092621.11|PHGDH	ENSG00000092621.11	PHGDH
ENSG00000092850.11|TEKT2	ENSG00000092850.11	TEKT2
ENSG00000092853.13|CLSPN	ENSG00000092853.13	CLSPN
ENSG00000092929.11|UNC13D	ENSG00000092929.11	UNC13D
ENSG00000093009.9|CDC45	ENSG00000093009.9	CDC45
ENSG00000093134.14|VNN3	ENSG00000093134.14	VNN3
ENSG00000094755.16|GABRP	ENSG00000094755.16	GABRP
ENSG00000094804.9|CDC6	ENSG00000094804.9	CDC6
ENSG00000094963.13|FMO2	ENSG00000094963.13	FMO2
ENSG00000095596.11|CYP26A1	ENSG00000095596.11	CYP26A1
ENSG00000095627.9|TDRD1	ENSG00000095627.9	TDRD1
ENSG00000095713.13|CRTAC1	ENSG00000095713.13	CRTAC1
ENSG00000095752.6|IL11	ENSG00000095752.6	IL11
ENSG00000095932.6|SMIM24	ENSG00000095932.6	SMIM24
ENSG00000095970.16|TREM2	ENSG00000095970.16	TREM2
ENSG00000096088.16|PGC	ENSG00000096088.16	PGC
ENSG00000096996.15|IL12RB1	ENSG00000096996.15	IL12RB1
ENSG00000099256.18|PRTFDC1	ENSG00000099256.18	PRTFDC1
ENSG00000099337.4|KCNK6	ENSG00000099337.4	KCNK6
ENSG00000099617.3|EFNA2	ENSG00000099617.3	EFNA2
ENSG00000099769.5|IGFALS	ENSG00000099769.5	IGFALS
ENSG00000099834.18|CDHR5	ENSG00000099834.18	CDHR5
ENSG00000099860.8|GADD45B	ENSG00000099860.8	GADD45B
ENSG00000099869.7|IGF2-AS	ENSG00000099869.7	IGF2-AS
ENSG00000099957.16|P2RX6	ENSG00000099957.16	P2RX6
ENSG00000099960.12|SLC7A4	ENSG00000099960.12	SLC7A4
ENSG00000099984.11|GSTT2	ENSG00000099984.11	GSTT2
ENSG00000099998.17|GGT5	ENSG00000099998.17	GGT5
ENSG00000100003.17|SEC14L2	ENSG00000100003.17	SEC14L2
ENSG00000100012.11|SEC14L3	ENSG00000100012.11	SEC14L3
ENSG00000100031.18|GGT1	ENSG00000100031.18	GGT1
ENSG00000100033.16|PRODH	ENSG00000100033.16	PRODH
ENSG00000100053.9|CRYBB3	ENSG00000100053.9	CRYBB3
